,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj,category
ENSRNOG00000004521,1091.445191,0.426727155,0.087489112,4.877488704,1.07E-06,5.65E-05,4.248268241,Insignficant/Low
ENSRNOG00000062006,272.42832,0.573950406,0.117902024,4.868028426,1.13E-06,5.90E-05,4.228964718,Insignficant/Low
ENSRNOG00000060742,1699.176668,0.534494793,0.109857823,4.865332085,1.14E-06,5.96E-05,4.224537181,Insignficant/Low
ENSRNOG00000010881,1807.617926,0.577072427,0.118664937,4.86304079,1.16E-06,6.01E-05,4.220996599,Insignficant/Low
ENSRNOG00000049282,176.0735221,-2.496364429,0.513615816,-4.860372967,1.17E-06,6.07E-05,4.216627043,Downregulated
ENSRNOG00000042411,2057.193529,-0.764931973,0.157550735,-4.855146963,1.20E-06,6.21E-05,4.206647358,Insignficant/Low
ENSRNOG00000031431,539.0598054,-1.07958898,0.222531438,-4.851399823,1.23E-06,6.31E-05,4.199912498,Downregulated
ENSRNOG00000019050,27.39936677,-3.03040751,0.624950853,-4.849033321,1.24E-06,6.37E-05,4.196200498,Downregulated
ENSRNOG00000022256,255.1535343,-1.414615744,0.292393411,-4.838056167,1.31E-06,6.70E-05,4.173660364,Downregulated
ENSRNOG00000001425,521.5183197,-0.443204967,0.091623737,-4.837228658,1.32E-06,6.71E-05,4.173312627,Insignficant/Low
ENSRNOG00000005388,1724.009252,-0.366336742,0.075804625,-4.832643648,1.35E-06,6.84E-05,4.165253735,Insignficant/Low
ENSRNOG00000054643,1671.65785,0.524675646,0.108578896,4.8322065,1.35E-06,6.84E-05,4.165253735,Insignficant/Low
ENSRNOG00000020905,2540.622987,0.766942769,0.1589973,4.823621351,1.41E-06,7.11E-05,4.147981213,Insignficant/Low
ENSRNOG00000020657,1229.043867,-0.509092711,0.105712755,-4.815811608,1.47E-06,7.37E-05,4.132421314,Insignficant/Low
ENSRNOG00000016770,5276.704061,-0.309881949,0.064395712,-4.812151906,1.49E-06,7.48E-05,4.125899312,Insignficant/Low
ENSRNOG00000011352,2460.21636,0.402341411,0.083670344,4.808650158,1.52E-06,7.58E-05,4.120376192,Insignficant/Low
ENSRNOG00000045578,1938.494756,0.495169155,0.102982274,4.808295038,1.52E-06,7.58E-05,4.120376192,Insignficant/Low
ENSRNOG00000002839,1337.822509,0.728635602,0.151631393,4.805308373,1.55E-06,7.67E-05,4.115312537,Insignficant/Low
ENSRNOG00000001369,181.1641442,-1.412435209,0.294065353,-4.803133699,1.56E-06,7.73E-05,4.112009754,Downregulated
ENSRNOG00000016472,276.7739541,-0.683078615,0.142248853,-4.80199733,1.57E-06,7.75E-05,4.110956602,Insignficant/Low
ENSRNOG00000007090,1007.034807,0.483386262,0.100696606,4.800422601,1.58E-06,7.76E-05,4.110351904,Insignficant/Low
ENSRNOG00000048750,1972.444797,0.489754761,0.102011091,4.800995209,1.58E-06,7.76E-05,4.110351904,Insignficant/Low
ENSRNOG00000027645,333.6489224,-0.578510654,0.120573717,-4.797983095,1.60E-06,7.76E-05,4.110078835,Insignficant/Low
ENSRNOG00000002956,1377.94707,0.556022824,0.115892648,4.797740249,1.60E-06,7.76E-05,4.110078835,Insignficant/Low
ENSRNOG00000024650,1175.515968,-1.026626721,0.213981825,-4.797728601,1.60E-06,7.76E-05,4.110078835,Downregulated
ENSRNOG00000052264,2843.728524,0.517608404,0.107855538,4.799089714,1.59E-06,7.76E-05,4.110078835,Insignficant/Low
ENSRNOG00000057297,2162.811603,0.526481824,0.10989544,4.790752247,1.66E-06,8.01E-05,4.096348019,Insignficant/Low
ENSRNOG00000011411,34.22575439,1.687880223,0.352892047,4.782993087,1.73E-06,8.23E-05,4.084426784,Upregulated
ENSRNOG00000048904,699.3458914,0.516041393,0.107897342,4.782707185,1.73E-06,8.23E-05,4.084426784,Insignficant/Low
ENSRNOG00000006048,1310.730915,-0.612117908,0.127970628,-4.783268773,1.72E-06,8.23E-05,4.084426784,Insignficant/Low
ENSRNOG00000013314,1242.701846,1.045924652,0.218603207,4.78458054,1.71E-06,8.23E-05,4.084426784,Upregulated
ENSRNOG00000004479,402.6378118,-1.102515886,0.23056656,-4.781768376,1.74E-06,8.25E-05,4.083757216,Downregulated
ENSRNOG00000028814,295.0881672,-0.94523428,0.197780561,-4.779207184,1.76E-06,8.33E-05,4.079579142,Insignficant/Low
ENSRNOG00000059133,1277.054718,0.503075572,0.105284904,4.7782308,1.77E-06,8.34E-05,4.078821353,Insignficant/Low
ENSRNOG00000046662,290.3676668,0.808662495,0.16963677,4.767023663,1.87E-06,8.79E-05,4.055993335,Insignficant/Low
ENSRNOG00000019445,550.8058923,0.612525497,0.128647095,4.7612851,1.92E-06,9.02E-05,4.044977665,Insignficant/Low
ENSRNOG00000016148,627.8148572,-0.950884261,0.199794907,-4.759301791,1.94E-06,9.08E-05,4.042048112,Insignficant/Low
ENSRNOG00000028415,1012.463025,-1.143040337,0.240221798,-4.758270678,1.95E-06,9.10E-05,4.041164139,Downregulated
ENSRNOG00000001442,5338.73957,0.259526074,0.054557398,4.756936448,1.97E-06,9.13E-05,4.03962465,Insignficant/Low
ENSRNOG00000016573,144.3256892,0.708325521,0.149088323,4.751046269,2.02E-06,9.37E-05,4.02829115,Insignficant/Low
ENSRNOG00000054338,2284.090608,0.529947545,0.111563996,4.75016639,2.03E-06,9.38E-05,4.027723352,Insignficant/Low
ENSRNOG00000048982,2659.889044,0.608690849,0.128324359,4.743377284,2.10E-06,9.67E-05,4.014470295,Insignficant/Low
ENSRNOG00000052980,2389.101435,0.534549146,0.112748113,4.741091723,2.13E-06,9.75E-05,4.010883312,Insignficant/Low
ENSRNOG00000057463,469.0483109,0.500086348,0.105580278,4.736550782,2.17E-06,9.92E-05,4.003640611,Insignficant/Low
ENSRNOG00000042561,571.2132818,-0.823478395,0.173858326,-4.736490986,2.17E-06,9.92E-05,4.003640611,Insignficant/Low
ENSRNOG00000025001,694.2007454,0.769145826,0.162426537,4.735345836,2.19E-06,9.94E-05,4.002490273,Insignficant/Low
ENSRNOG00000016182,370.6258538,-0.714644608,0.150964335,-4.73386385,2.20E-06,9.99E-05,4.000615456,Insignficant/Low
ENSRNOG00000020388,2066.085049,0.391805892,0.082802648,4.731803885,2.23E-06,0.000100577,3.997500757,Insignficant/Low
ENSRNOG00000057396,1765.364345,0.49225657,0.104076931,4.729737581,2.25E-06,0.000101305,3.994370428,Insignficant/Low
ENSRNOG00000054519,3266.352146,0.54049868,0.114343276,4.726982621,2.28E-06,0.000102385,3.989765645,Insignficant/Low
ENSRNOG00000004089,4536.989117,0.959122168,0.202956169,4.725760099,2.29E-06,0.000102699,3.988435253,Insignficant/Low
ENSRNOG00000057110,2027.733522,0.510523745,0.108057164,4.724570999,2.31E-06,0.000102998,3.987173128,Insignficant/Low
ENSRNOG00000049814,7656.496901,0.433044857,0.091730819,4.720821888,2.35E-06,0.000104301,3.981711597,Insignficant/Low
ENSRNOG00000057756,1680.056166,0.438016159,0.092776588,4.721192807,2.34E-06,0.000104301,3.981711597,Insignficant/Low
ENSRNOG00000011559,1763.35419,0.375309532,0.079532411,4.718950749,2.37E-06,0.000104509,3.98084676,Insignficant/Low
ENSRNOG00000015794,281.680135,-1.232865947,0.261308301,-4.718051217,2.38E-06,0.000104509,3.98084676,Downregulated
ENSRNOG00000015447,2624.722966,0.601772715,0.127534086,4.71852456,2.38E-06,0.000104509,3.98084676,Insignficant/Low
ENSRNOG00000015329,2211.011035,-1.023861443,0.216942252,-4.719511458,2.36E-06,0.000104509,3.98084676,Downregulated
ENSRNOG00000015024,105.5189995,0.885036099,0.187609839,4.717429025,2.39E-06,0.000104527,3.98077232,Insignficant/Low
ENSRNOG00000004440,318.4755357,-0.615722119,0.130537119,-4.71683551,2.40E-06,0.000104531,3.980755628,Insignficant/Low
ENSRNOG00000021218,1031.633933,-0.328870584,0.069792137,-4.712143793,2.45E-06,0.000106308,3.973436085,Insignficant/Low
ENSRNOG00000029071,666.5622915,0.58594659,0.124365119,4.711502682,2.46E-06,0.000106308,3.973436085,Insignficant/Low
ENSRNOG00000046711,1761.450551,0.527806016,0.112035139,4.711075637,2.46E-06,0.000106308,3.973436085,Insignficant/Low
ENSRNOG00000014621,1180.859288,-0.385702541,0.081861038,-4.71167422,2.46E-06,0.000106308,3.973436085,Insignficant/Low
ENSRNOG00000003661,877.5958881,-0.723089505,0.153576955,-4.708320377,2.50E-06,0.00010741,3.96895501,Insignficant/Low
ENSRNOG00000037909,1126.30914,0.607239368,0.128985322,4.707817581,2.50E-06,0.00010741,3.96895501,Insignficant/Low
ENSRNOG00000009334,845.9087227,-1.024424032,0.217762747,-4.704312596,2.55E-06,0.000108658,3.963938923,Downregulated
ENSRNOG00000052854,2404.434986,0.529800121,0.112616564,4.704460022,2.55E-06,0.000108658,3.963938923,Insignficant/Low
ENSRNOG00000015957,83.90353992,-1.951908533,0.415348022,-4.699453056,2.61E-06,0.000110964,3.954818705,Downregulated
ENSRNOG00000021044,1258.033471,0.408101615,0.086864336,4.698149277,2.63E-06,0.000111362,3.95326147,Insignficant/Low
ENSRNOG00000017456,235.4004808,-1.094857494,0.233131108,-4.696316601,2.65E-06,0.000111892,3.951202601,Downregulated
ENSRNOG00000002241,318.221454,0.593364314,0.126354125,4.696042266,2.65E-06,0.000111892,3.951202601,Insignficant/Low
ENSRNOG00000031660,222.3252818,-0.699176382,0.149115021,-4.688839386,2.75E-06,0.000115262,3.938313358,Insignficant/Low
ENSRNOG00000026745,515.936605,-0.50787364,0.10831332,-4.688930586,2.75E-06,0.000115262,3.938313358,Insignficant/Low
ENSRNOG00000002412,399.5315383,-0.537960672,0.114755264,-4.68789539,2.76E-06,0.000115476,3.937508446,Insignficant/Low
ENSRNOG00000012067,1208.316903,-1.141220502,0.243676417,-4.68334407,2.82E-06,0.000117747,3.929051471,Downregulated
ENSRNOG00000018755,655.50244,0.471220365,0.100696857,4.679593548,2.87E-06,0.000119593,3.922295942,Insignficant/Low
ENSRNOG00000008738,1970.32754,-0.494696207,0.105785847,-4.676393125,2.92E-06,0.000121141,3.916707415,Insignficant/Low
ENSRNOG00000006877,451.7199487,-0.571387564,0.122274707,-4.672982463,2.97E-06,0.000122836,3.910675194,Insignficant/Low
ENSRNOG00000018944,142.0531687,-0.786221544,0.168337423,-4.670509572,3.00E-06,0.000123735,3.907506435,Insignficant/Low
ENSRNOG00000012060,442.3811542,-0.583558186,0.12494908,-4.670368014,3.01E-06,0.000123735,3.907506435,Insignficant/Low
ENSRNOG00000053729,556.2572855,-0.50469494,0.108108704,-4.668402454,3.04E-06,0.000124251,3.905699077,Insignficant/Low
ENSRNOG00000026605,267.4578329,-0.815538096,0.174687253,-4.668560993,3.03E-06,0.000124251,3.905699077,Insignficant/Low
ENSRNOG00000016012,269.9765624,-0.756018655,0.161980405,-4.667346368,3.05E-06,0.000124556,3.904636365,Insignficant/Low
ENSRNOG00000056331,1597.958932,0.498381132,0.106818145,4.665697296,3.08E-06,0.000125222,3.902318338,Insignficant/Low
ENSRNOG00000053576,3324.233006,0.541636553,0.116193608,4.661500417,3.14E-06,0.000127462,3.89461969,Insignficant/Low
ENSRNOG00000050946,294.3793753,-0.570765975,0.122467987,-4.660532032,3.15E-06,0.000127722,3.893735725,Insignficant/Low
ENSRNOG00000015179,212.9702482,0.718798875,0.154534054,4.651394679,3.30E-06,0.000133159,3.875628604,Insignficant/Low
ENSRNOG00000015124,411.8671867,0.633387258,0.136282988,4.647588564,3.36E-06,0.000135279,3.868768224,Insignficant/Low
ENSRNOG00000005397,1048.928054,-0.413001763,0.088925411,-4.644361584,3.41E-06,0.000136326,3.865420718,Insignficant/Low
ENSRNOG00000002826,245.8147669,1.183876402,0.254848284,4.645416409,3.39E-06,0.000136326,3.865420718,Upregulated
ENSRNOG00000048042,1752.841737,0.503588185,0.108423927,4.644622274,3.41E-06,0.000136326,3.865420718,Insignficant/Low
ENSRNOG00000011566,267.0874163,0.803686312,0.173158653,4.641329199,3.46E-06,0.000137979,3.860185752,Insignficant/Low
ENSRNOG00000004672,295.2493464,0.497840439,0.107330621,4.638382167,3.51E-06,0.000139595,3.855130956,Insignficant/Low
ENSRNOG00000059968,1203.756272,-0.433297392,0.093520299,-4.633190848,3.60E-06,0.000142769,3.845365653,Insignficant/Low
ENSRNOG00000004004,581.6859822,0.557677127,0.120615963,4.623576473,3.77E-06,0.000149163,3.826339637,Insignficant/Low
ENSRNOG00000020848,509.1349038,0.612128034,0.132474523,4.620722668,3.82E-06,0.000150837,3.821493007,Insignficant/Low
ENSRNOG00000050106,638.2912733,-0.512395786,0.110931,-4.619049557,3.86E-06,0.000151664,3.819117515,Insignficant/Low
ENSRNOG00000023463,336.2809901,-0.719150368,0.155823192,-4.615169022,3.93E-06,0.000154126,3.81212315,Insignficant/Low
ENSRNOG00000054073,2062.395941,0.499773261,0.108352481,4.612476406,3.98E-06,0.000155457,3.808388388,Insignficant/Low
ENSRNOG00000000924,1977.832355,0.634103435,0.137480611,4.612311727,3.98E-06,0.000155457,3.808388388,Insignficant/Low
ENSRNOG00000014259,341.8056629,-0.632626551,0.137193022,-4.611215216,4.00E-06,0.000155879,3.807211958,Insignficant/Low
ENSRNOG00000014080,807.041851,-1.126560064,0.244444228,-4.608658887,4.05E-06,0.000157404,3.80298397,Downregulated
ENSRNOG00000058316,113.3924303,0.822645803,0.178707074,4.60331976,4.16E-06,0.000161084,3.792948721,Insignficant/Low
ENSRNOG00000037198,126.9700459,-1.346194463,0.292560906,-4.601416099,4.20E-06,0.000162149,3.790084503,Downregulated
