,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj,category
ENSRNOG00000056631,113.4827992,0.980269313,0.33290897,2.944556622,0.003234178,0.02958688,1.528900824,Insignficant/Low
ENSRNOG00000033615,12902.64462,0.362486628,0.123152476,2.943397,0.003246318,0.029680066,1.527535141,Insignficant/Low
ENSRNOG00000010435,432.9870736,0.313049505,0.106401012,2.9421666,0.003259245,0.029753287,1.526465045,Insignficant/Low
ENSRNOG00000049430,291.8164523,0.373941168,0.127109186,2.941889409,0.003262164,0.029753287,1.526465045,Insignficant/Low
ENSRNOG00000024549,994.5608036,0.327702775,0.111391338,2.941905374,0.003261996,0.029753287,1.526465045,Insignficant/Low
ENSRNOG00000059017,1216.504375,0.291009936,0.098908639,2.942209491,0.003258794,0.029753287,1.526465045,Insignficant/Low
ENSRNOG00000001811,792.9418665,0.264985759,0.090110916,2.940662153,0.003275115,0.029853482,1.525005006,Insignficant/Low
ENSRNOG00000028668,36.31573237,0.951236904,0.32368002,2.938818723,0.003294657,0.030013595,1.522681981,Insignficant/Low
ENSRNOG00000002751,247.6055062,0.505489437,0.172028447,2.938406097,0.003299046,0.030035557,1.522364306,Insignficant/Low
ENSRNOG00000018164,4893.494709,-0.254092328,0.086482681,-2.938071821,0.003302605,0.030049946,1.5221563,Insignficant/Low
ENSRNOG00000015797,41.73822254,0.929394601,0.316388369,2.937511907,0.003308575,0.030068232,1.521892114,Insignficant/Low
ENSRNOG00000054172,3721.760122,-0.210516197,0.071661849,-2.937632789,0.003307285,0.030068232,1.521892114,Insignficant/Low
ENSRNOG00000022711,97.27134925,0.743171084,0.253207294,2.93503031,0.003335151,0.030291629,1.518677366,Insignficant/Low
ENSRNOG00000051482,2621.572347,-0.327146695,0.111519708,-2.933532577,0.003351285,0.030419971,1.516841204,Insignficant/Low
ENSRNOG00000052600,798.1270689,-0.340461362,0.116073552,-2.933151922,0.003355397,0.0304391,1.516568198,Insignficant/Low
ENSRNOG00000054212,52.39644316,-0.939994207,0.320646459,-2.931559609,0.003372646,0.030563008,1.514803907,Insignficant/Low
ENSRNOG00000054264,754.4523895,-0.403113257,0.137518689,-2.93133435,0.003375093,0.030563008,1.514803907,Insignficant/Low
ENSRNOG00000061835,171.4336377,0.82268868,0.28063885,2.931485358,0.003373453,0.030563008,1.514803907,Insignficant/Low
ENSRNOG00000009658,3259.237439,0.433976165,0.148172461,2.928858459,0.003402093,0.030789145,1.511602375,Insignficant/Low
ENSRNOG00000014981,2024.801654,-0.30482057,0.104096726,-2.928243595,0.003408829,0.030831728,1.511002133,Insignficant/Low
ENSRNOG00000010574,896.8814416,0.328473399,0.112186322,2.927927352,0.003412298,0.030835269,1.510952254,Insignficant/Low
ENSRNOG00000056297,648.3658052,-0.403830482,0.13792789,-2.927837747,0.003413281,0.030835269,1.510952254,Insignficant/Low
ENSRNOG00000009104,1749.365277,0.445568587,0.152194472,2.927626618,0.0034156,0.030837868,1.510915649,Insignficant/Low
ENSRNOG00000043377,2983.534684,0.5272436,0.180122743,2.927135088,0.003421003,0.030868297,1.510487325,Insignficant/Low
ENSRNOG00000010011,1028.615894,0.334579967,0.114331455,2.926403475,0.003429059,0.030904267,1.509981555,Insignficant/Low
ENSRNOG00000061129,672.8607092,-0.30945454,0.10573911,-2.926585447,0.003427053,0.030904267,1.509981555,Insignficant/Low
ENSRNOG00000050649,779.5381128,-0.276414347,0.094492496,-2.925251832,0.003441776,0.031000478,1.508631608,Insignficant/Low
ENSRNOG00000025815,277.3520192,-0.393845832,0.134719795,-2.923444419,0.00346182,0.031162538,1.506367175,Insignficant/Low
ENSRNOG00000020426,514.319672,0.433600654,0.148401164,2.921814379,0.003479989,0.031307529,1.504351212,Insignficant/Low
ENSRNOG00000018061,373.6970303,0.353282619,0.120952186,2.920845265,0.003490832,0.03136791,1.503514413,Insignficant/Low
ENSRNOG00000009571,142.1723018,-0.66707411,0.228382123,-2.920868327,0.003490573,0.03136791,1.503514413,Insignficant/Low
ENSRNOG00000013714,1126.21968,-0.273353251,0.093598277,-2.920494486,0.003494764,0.031384674,1.503282382,Insignficant/Low
ENSRNOG00000016187,783.831645,0.34448239,0.11800422,2.919237877,0.003508884,0.031437112,1.502557354,Insignficant/Low
ENSRNOG00000002592,233.5023679,-0.553376715,0.189546879,-2.919471528,0.003506254,0.031437112,1.502557354,Insignficant/Low
ENSRNOG00000010784,9711.488531,0.202124579,0.069235697,2.919369464,0.003507403,0.031437112,1.502557354,Insignficant/Low
ENSRNOG00000024567,914.5998191,-0.250047231,0.085644179,-2.919605662,0.003504746,0.031437112,1.502557354,Insignficant/Low
ENSRNOG00000002879,140.7987108,0.482500223,0.165375567,2.917602831,0.003527333,0.031583775,1.500535966,Insignficant/Low
ENSRNOG00000042776,218.9860316,-0.37260547,0.127722086,-2.917314316,0.003530598,0.031594378,1.500390185,Insignficant/Low
ENSRNOG00000005669,191.6935599,0.908074427,0.311335077,2.916710948,0.003537434,0.031636912,1.49980591,Insignficant/Low
ENSRNOG00000005730,1794.911191,0.399080119,0.136854218,2.916096603,0.003544407,0.031673681,1.499301467,Insignficant/Low
ENSRNOG00000003357,789.5765123,-1.144693501,0.392558581,-2.915981353,0.003545717,0.031673681,1.499301467,Downregulated
ENSRNOG00000047336,64.67762213,0.649999546,0.22294676,2.915492235,0.003551279,0.031704721,1.498876071,Insignficant/Low
ENSRNOG00000061774,109.0596931,-0.596706088,0.204750787,-2.914304251,0.003564823,0.031750968,1.498243024,Insignficant/Low
ENSRNOG00000006859,2438.487871,1.117683667,0.383452758,2.914788441,0.003559297,0.031750968,1.498243024,Upregulated
ENSRNOG00000046996,793.9963934,-0.3296402,0.113098945,-2.914617808,0.003561244,0.031750968,1.498243024,Insignficant/Low
ENSRNOG00000048831,974.6195865,0.535576312,0.183765326,2.914457938,0.003563068,0.031750968,1.498243024,Insignficant/Low
ENSRNOG00000050408,718.7784847,0.358355876,0.123021707,2.912948326,0.003580338,0.03183315,1.49712039,Insignficant/Low
ENSRNOG00000024634,12.28259479,1.735568359,0.595772941,2.913137269,0.003578173,0.03183315,1.49712039,Upregulated
ENSRNOG00000018378,864.1415459,0.366724878,0.125890038,2.913057163,0.003579091,0.03183315,1.49712039,Insignficant/Low
ENSRNOG00000009197,57.37195635,0.858009483,0.294574946,2.912703525,0.003583146,0.031839472,1.497034143,Insignficant/Low
ENSRNOG00000023280,847.8392562,-0.370237557,0.127308416,-2.908193876,0.003635229,0.032283384,1.491020951,Insignficant/Low
ENSRNOG00000018860,421.8409592,0.30194735,0.103854563,2.907405711,0.003644402,0.032338025,1.490286505,Insignficant/Low
ENSRNOG00000050860,17.39674399,1.462114832,0.50291168,2.907299414,0.003645641,0.032338025,1.490286505,Upregulated
ENSRNOG00000047466,26.55777819,-1.308926165,0.450272058,-2.906967334,0.003649513,0.032353477,1.490079046,Downregulated
ENSRNOG00000047155,50.37628635,0.903422043,0.31083073,2.906475957,0.00365525,0.032385429,1.48965035,Insignficant/Low
ENSRNOG00000019501,772.3712969,0.2848976,0.098043537,2.905827448,0.003662834,0.032433699,1.489003519,Insignficant/Low
ENSRNOG00000021745,17.29074383,-1.317916393,0.453608331,-2.905406058,0.003667769,0.032458476,1.488671875,Downregulated
ENSRNOG00000011696,104.4601654,0.655533151,0.225706192,2.904364941,0.003679989,0.032547652,1.487480335,Insignficant/Low
ENSRNOG00000036816,1975.736849,0.525296594,0.180876641,2.904170435,0.003682276,0.032548923,1.487463371,Insignficant/Low
ENSRNOG00000016152,3718.583034,-0.218092392,0.075132391,-2.90277456,0.003698728,0.032675324,1.485780103,Insignficant/Low
ENSRNOG00000048462,202.7797928,-0.581837333,0.200630397,-2.900045764,0.003731082,0.032914097,1.482618058,Insignficant/Low
ENSRNOG00000008024,594.9332793,0.39630465,0.136649842,2.900147156,0.003729875,0.032914097,1.482618058,Insignficant/Low
ENSRNOG00000001260,153.1789438,-0.560206832,0.193178304,-2.899946942,0.003732258,0.032914097,1.482618058,Insignficant/Low
ENSRNOG00000005958,8584.000638,-0.358785303,0.123732109,-2.899694404,0.003735266,0.032921506,1.482520306,Insignficant/Low
ENSRNOG00000009161,464.3091019,0.30189665,0.10417572,2.897955967,0.003756033,0.033085337,1.480364444,Insignficant/Low
ENSRNOG00000056768,1141.704073,0.366616165,0.126538811,2.897262614,0.003764345,0.03313933,1.479656283,Insignficant/Low
ENSRNOG00000051179,99.15877905,0.553795548,0.191400337,2.893388565,0.003811095,0.033531453,1.474547623,Insignficant/Low
ENSRNOG00000050867,180.6592252,0.546970866,0.189089995,2.892648368,0.003820087,0.033591107,1.473775678,Insignficant/Low
ENSRNOG00000000881,814.4184361,-0.40886815,0.141375746,-2.892067145,0.003827161,0.033633839,1.47322356,Insignficant/Low
ENSRNOG00000052421,385.7561794,0.383047978,0.132470527,2.891571329,0.003833206,0.033667473,1.472789475,Insignficant/Low
ENSRNOG00000015860,16527.65633,0.539224194,0.186557463,2.890391978,0.003847617,0.033755007,1.471661793,Insignficant/Low
ENSRNOG00000025489,36.80258333,1.045472761,0.361689339,2.890526889,0.003845966,0.033755007,1.471661793,Upregulated
ENSRNOG00000052354,431.1340105,-0.346045643,0.119743727,-2.889885357,0.003853823,0.033789932,1.471212681,Insignficant/Low
ENSRNOG00000017706,446.8764882,0.352442084,0.1219764,2.889428483,0.003859428,0.033805992,1.471006311,Insignficant/Low
ENSRNOG00000054272,1216.081272,0.290850627,0.10066379,2.88932719,0.003860671,0.033805992,1.471006311,Insignficant/Low
ENSRNOG00000015054,278.322789,-0.387751105,0.134207462,-2.88919185,0.003862334,0.033805992,1.471006311,Insignficant/Low
ENSRNOG00000005081,402.1750712,0.423955812,0.146815857,2.887670456,0.003881063,0.033950355,1.469155685,Insignficant/Low
ENSRNOG00000046207,417.4557723,-0.335764635,0.116295332,-2.887172067,0.003887216,0.033984606,1.468717767,Insignficant/Low
ENSRNOG00000000833,793.047946,0.380598543,0.131859479,2.886395009,0.003896827,0.034049034,1.467895208,Insignficant/Low
ENSRNOG00000016544,685.3067394,0.492646376,0.170739368,2.885370746,0.00390953,0.034140378,1.466731679,Insignficant/Low
ENSRNOG00000000523,717.9337998,-0.267311043,0.092652571,-2.885090396,0.003913013,0.034151157,1.466594576,Insignficant/Low
ENSRNOG00000013825,878.0718093,-0.464663245,0.161126883,-2.883834389,0.003928653,0.034267964,1.465111703,Insignficant/Low
ENSRNOG00000011873,202.8244809,0.507123574,0.175882282,2.883312457,0.003935169,0.034305095,1.464641375,Insignficant/Low
ENSRNOG00000037148,435.6253884,0.459795418,0.159534596,2.882104766,0.003950284,0.034397367,1.463474802,Insignficant/Low
ENSRNOG00000026180,171.6969337,0.409234075,0.141989345,2.882146375,0.003949762,0.034397367,1.463474802,Insignficant/Low
ENSRNOG00000004639,481.5433066,0.581864322,0.201907558,2.881835265,0.003953664,0.03440707,1.463352303,Insignficant/Low
ENSRNOG00000056923,25.21168648,0.952620394,0.330641671,2.881126235,0.003962569,0.034464818,1.462624005,Insignficant/Low
ENSRNOG00000050265,119.2607052,0.538894436,0.187105875,2.880157746,0.003974762,0.034551083,1.461538332,Insignficant/Low
ENSRNOG00000029651,142.0334436,0.580245078,0.201496814,2.879673713,0.003980869,0.034584371,1.46112012,Insignficant/Low
ENSRNOG00000004776,394.7138152,-0.391141987,0.135841334,-2.879403322,0.003984284,0.034594249,1.460996088,Insignficant/Low
ENSRNOG00000009331,26.7621668,-1.264589981,0.439340115,-2.878384966,0.00399717,0.034686302,1.459842001,Downregulated
ENSRNOG00000024178,447.197213,-0.694133716,0.241288898,-2.876774367,0.004017628,0.034843913,1.457873073,Insignficant/Low
ENSRNOG00000022704,2957.001448,0.309753294,0.107710186,2.875803163,0.004030009,0.034931348,1.456784651,Insignficant/Low
ENSRNOG00000001156,618.2182047,-0.37954691,0.132008425,-2.875171867,0.004038076,0.034981304,1.456164002,Insignficant/Low
ENSRNOG00000001689,565.102044,-0.308989353,0.107507112,-2.87412941,0.004051429,0.035076969,1.454977938,Insignficant/Low
ENSRNOG00000012036,134.9549544,0.531690757,0.185028133,2.873567111,0.004058648,0.03509945,1.454699687,Insignficant/Low
ENSRNOG00000032639,317.5776454,-0.399355082,0.138969887,-2.873680707,0.004057189,0.03509945,1.454699687,Insignficant/Low
ENSRNOG00000014422,754.9065028,-0.296985923,0.103375387,-2.872888137,0.004067381,0.035154951,1.454013503,Insignficant/Low
ENSRNOG00000012016,552.9386785,0.295185267,0.102755575,2.872693451,0.004069888,0.035156611,1.453992998,Insignficant/Low
ENSRNOG00000015222,608.1307644,-0.467188559,0.162655952,-2.872250008,0.004075604,0.03518597,1.453630467,Insignficant/Low
ENSRNOG00000050976,165.9353211,0.551043971,0.191887654,2.871701016,0.00408269,0.035227122,1.453122832,Insignficant/Low
ENSRNOG00000009598,1418.137351,-0.267193631,0.093091992,-2.870210691,0.004101984,0.03535342,1.451568571,Insignficant/Low
ENSRNOG00000014543,1268.624064,0.394046439,0.137284994,2.870280491,0.004101078,0.03535342,1.451568571,Insignficant/Low
ENSRNOG00000004932,1248.850339,0.283468214,0.098779989,2.869692695,0.004108709,0.035391296,1.451103535,Insignficant/Low
ENSRNOG00000006653,2446.39307,0.388637256,0.13550899,2.867981348,0.004130999,0.035563123,1.44900011,Insignficant/Low
ENSRNOG00000018668,6562.822824,0.203680507,0.071024337,2.867756535,0.004133935,0.035568237,1.448937656,Insignficant/Low
ENSRNOG00000004660,1491.982183,0.269301392,0.093924506,2.86721116,0.004141066,0.035593872,1.44862476,Insignficant/Low
ENSRNOG00000057757,52.32031699,0.676993943,0.236119204,2.867170188,0.004141602,0.035593872,1.44862476,Insignficant/Low
ENSRNOG00000016199,169.709418,0.409239034,0.142847745,2.864861697,0.004171914,0.035834099,1.445703511,Insignficant/Low
ENSRNOG00000004921,1708.16807,-0.947049303,0.330690669,-2.863852513,0.004185228,0.035928139,1.444565281,Insignficant/Low
ENSRNOG00000005360,343.1990892,-0.329493587,0.115060834,-2.863646784,0.004187947,0.035931168,1.444528667,Insignficant/Low
ENSRNOG00000021438,7282.930121,-0.417171099,0.145739229,-2.862448912,0.00420381,0.036026559,1.443377216,Insignficant/Low
ENSRNOG00000049937,758.7537846,-0.479138513,0.167378099,-2.86261176,0.004201651,0.036026559,1.443377216,Insignficant/Low
ENSRNOG00000014160,3301.007619,-0.270376227,0.094500006,-2.861123908,0.00422142,0.036157072,1.441806746,Insignficant/Low
ENSRNOG00000019771,20.05334606,1.059340559,0.370378631,2.860155717,0.00423433,0.036247205,1.44072548,Upregulated
ENSRNOG00000050843,628.7236387,-0.304698106,0.106566841,-2.859220581,0.004246834,0.036333756,1.439689709,Insignficant/Low
ENSRNOG00000011311,694.9951205,-0.342607165,0.119863069,-2.858321322,0.004258889,0.036395884,1.438947726,Insignficant/Low
ENSRNOG00000005391,8.684036068,1.908337366,0.667641738,2.858325443,0.004258834,0.036395884,1.438947726,Upregulated
ENSRNOG00000008415,839.6165425,0.461850081,0.161629287,2.857465309,0.004270393,0.036473673,1.438020505,Insignficant/Low
ENSRNOG00000006244,160.954919,0.508108123,0.177840009,2.857108066,0.004275203,0.036494225,1.437775856,Insignficant/Low
ENSRNOG00000019354,3377.726613,0.389228988,0.136335744,2.854929865,0.004304633,0.036704349,1.435282477,Insignficant/Low
ENSRNOG00000028623,773.1106284,-0.376991308,0.1320493,-2.854928491,0.004304652,0.036704349,1.435282477,Insignficant/Low
ENSRNOG00000024677,1193.911602,-0.428478129,0.150096921,-2.854676336,0.004308071,0.036712887,1.435181468,Insignficant/Low
ENSRNOG00000056371,2272.789943,0.208360986,0.072996513,2.854396446,0.004311869,0.036724642,1.435042427,Insignficant/Low
ENSRNOG00000006062,289.3654454,0.471717332,0.165306232,2.853596779,0.004322736,0.036796563,1.43419275,Insignficant/Low
ENSRNOG00000038686,7325.715131,0.495348001,0.17360612,2.85328651,0.004326959,0.036811877,1.434012038,Insignficant/Low
ENSRNOG00000013820,252.300188,-0.560010234,0.196310182,-2.852680538,0.004335218,0.036840861,1.433670224,Insignficant/Low
ENSRNOG00000000609,1414.833699,-0.267546781,0.093782835,-2.852833166,0.004333136,0.036840861,1.433670224,Insignficant/Low
ENSRNOG00000033953,14.18195396,1.272441078,0.446355214,2.850736448,0.004361811,0.037046117,1.43125731,Upregulated
ENSRNOG00000028992,8.90415202,-3.408386016,1.195930757,-2.849986084,0.004372114,0.037112871,1.430475448,Downregulated
ENSRNOG00000017509,524.6136985,-0.279074511,0.09798832,-2.848038523,0.00439896,0.037319891,1.428059628,Insignficant/Low
ENSRNOG00000016447,404.708753,0.36007429,0.126446456,2.847642397,0.004404439,0.037345507,1.427761639,Insignficant/Low
ENSRNOG00000015473,188.9824952,0.50985627,0.179065981,2.847309507,0.004409047,0.037363723,1.427549854,Insignficant/Low
ENSRNOG00000007060,94.85776024,-0.556648816,0.195537074,-2.846768677,0.004416544,0.037406381,1.427054309,Insignficant/Low
ENSRNOG00000009345,1113.618342,-0.331669219,0.116519937,-2.846458974,0.004420843,0.037421915,1.426873998,Insignficant/Low
ENSRNOG00000015787,416.1167228,0.334849289,0.11767236,2.845606991,0.004432687,0.037501269,1.425954035,Insignficant/Low
ENSRNOG00000002312,62.96558881,-0.756233629,0.265785002,-2.84528331,0.004437194,0.0375185,1.425754538,Insignficant/Low
ENSRNOG00000050090,1811.846261,0.460144386,0.161794328,2.844008135,0.004454991,0.037584762,1.424988197,Insignficant/Low
ENSRNOG00000051662,317.3949075,0.462704095,0.162696675,2.84396773,0.004455556,0.037584762,1.424988197,Insignficant/Low
ENSRNOG00000054863,766.6105227,-0.236608123,0.08318363,-2.84440728,0.004449413,0.037584762,1.424988197,Insignficant/Low
ENSRNOG00000010188,148.8182794,-0.616187288,0.216674729,-2.843835513,0.004457405,0.037584762,1.424988197,Insignficant/Low
ENSRNOG00000017919,598.9109173,-0.322764129,0.113477723,-2.844295083,0.004450981,0.037584762,1.424988197,Insignficant/Low
ENSRNOG00000008223,52.20646927,-0.835458233,0.293801495,-2.843614644,0.004460496,0.037587028,1.424962015,Insignficant/Low
ENSRNOG00000033335,302.8669843,-0.604024522,0.212425694,-2.843462632,0.004462624,0.037587028,1.424962015,Insignficant/Low
ENSRNOG00000027590,414.7600963,-0.412658011,0.145190597,-2.842181368,0.004480599,0.037693652,1.423731785,Insignficant/Low
ENSRNOG00000016751,1661.474912,0.307628666,0.10825029,2.841827633,0.004485574,0.037693652,1.423731785,Insignficant/Low
ENSRNOG00000004861,58.90149885,0.680966766,0.239627559,2.841771497,0.004486363,0.037693652,1.423731785,Insignficant/Low
ENSRNOG00000022071,40.49226528,0.823465104,0.289719172,2.842287234,0.004479112,0.037693652,1.423731785,Insignficant/Low
ENSRNOG00000014097,1592.66618,-0.345103231,0.121443513,-2.841676943,0.004487694,0.037693652,1.423731785,Insignficant/Low
ENSRNOG00000016174,782.3724594,0.268295113,0.094421304,2.841468,0.004490636,0.03769751,1.423687333,Insignficant/Low
ENSRNOG00000051960,284.9670396,-0.424561472,0.149513292,-2.839623601,0.004516679,0.037895189,1.42141592,Insignficant/Low
ENSRNOG00000005330,807.8194108,0.268519456,0.094570591,2.839354736,0.004520487,0.037898249,1.42138085,Insignficant/Low
ENSRNOG00000001436,6474.206992,-0.31246089,0.110050678,-2.839245487,0.004522035,0.037898249,1.42138085,Insignficant/Low
ENSRNOG00000019742,3924.815333,0.406515803,0.14329905,2.836835304,0.004556311,0.038164444,1.418341065,Insignficant/Low
ENSRNOG00000036876,237.3904157,0.404607309,0.142701883,2.835332656,0.004577799,0.038323295,1.416537158,Insignficant/Low
ENSRNOG00000006469,584.6545559,-0.366593324,0.129320615,-2.834763233,0.004585966,0.038370512,1.416002407,Insignficant/Low
ENSRNOG00000015051,1650.65876,-0.24491723,0.086413431,-2.834249564,0.004593344,0.038411085,1.41554343,Insignficant/Low
ENSRNOG00000020937,2414.460951,-0.241942813,0.085385005,-2.833551561,0.004603388,0.038452724,1.415072893,Insignficant/Low
ENSRNOG00000017045,416.2372334,0.321701657,0.113529082,2.833649767,0.004601974,0.038452724,1.415072893,Insignficant/Low
ENSRNOG00000003848,1522.84279,0.305458086,0.107813806,2.833200101,0.004608453,0.038473867,1.41483416,Insignficant/Low
ENSRNOG00000020776,935.3094147,0.370165676,0.130675447,2.832710232,0.00461552,0.0385117,1.414407313,Insignficant/Low
ENSRNOG00000017731,1063.181284,-0.394845775,0.139451586,-2.83141833,0.004634207,0.038646382,1.412891153,Insignficant/Low
ENSRNOG00000059894,1202.536166,-0.952748418,0.336661521,-2.829989054,0.00465496,0.038798144,1.411189054,Insignficant/Low
ENSRNOG00000000398,534.6665525,0.337749759,0.119363492,2.829590135,0.004660767,0.038825237,1.410885885,Insignficant/Low
ENSRNOG00000021176,943.2601501,-0.253474843,0.089594258,-2.829141606,0.004667304,0.038858379,1.410515325,Insignficant/Low
ENSRNOG00000005151,219.2826531,0.332902258,0.11769392,2.828542528,0.004676049,0.03890985,1.40994044,Insignficant/Low
ENSRNOG00000050800,2399.51708,-0.237026941,0.083815373,-2.827964991,0.004684493,0.038958767,1.409394792,Insignficant/Low
ENSRNOG00000049497,1115.993364,-0.259559512,0.09179425,-2.827622766,0.004689503,0.038979088,1.409168327,Insignficant/Low
ENSRNOG00000002182,597.4222831,-0.541114112,0.191441873,-2.826519103,0.004705694,0.039092267,1.407909139,Insignficant/Low
ENSRNOG00000046536,703.4477258,-1.110294712,0.392849094,-2.826262627,0.004709463,0.039102193,1.40779888,Downregulated
ENSRNOG00000026787,9312.901549,0.279513633,0.098968026,2.824282187,0.004738664,0.039303574,1.405567956,Insignficant/Low
ENSRNOG00000005298,541.1204054,0.278388115,0.098570053,2.824266662,0.004738894,0.039303574,1.405567956,Insignficant/Low
ENSRNOG00000007947,26.53361473,0.942929897,0.3339272,2.82375888,0.004746408,0.039343755,1.405124188,Insignficant/Low
ENSRNOG00000025604,1849.155444,-0.408253703,0.144595742,-2.823414409,0.004751511,0.039343755,1.405124188,Insignficant/Low
ENSRNOG00000049255,1177.589523,-0.244450645,0.086575785,-2.82354524,0.004749572,0.039343755,1.405124188,Insignficant/Low
ENSRNOG00000018207,1792.251242,-0.356917586,0.12645302,-2.822531126,0.00476462,0.039409322,1.404401042,Insignficant/Low
ENSRNOG00000002714,162.3171224,0.403564529,0.142976244,2.822598476,0.004763619,0.039409322,1.404401042,Insignficant/Low
ENSRNOG00000012872,186.2446325,-0.461322352,0.163482108,-2.82185224,0.004774717,0.039449866,1.403954468,Insignficant/Low
ENSRNOG00000038572,619.1329047,-0.662363237,0.234724912,-2.821870209,0.00477445,0.039449866,1.403954468,Insignficant/Low
ENSRNOG00000021259,10089.6587,0.256340911,0.090854449,2.821445867,0.004780771,0.039478402,1.403640435,Insignficant/Low
ENSRNOG00000005357,1871.814426,-0.249595868,0.088476479,-2.821042051,0.004786793,0.039506649,1.403329801,Insignficant/Low
ENSRNOG00000015558,2907.158624,0.198983631,0.070542698,2.820754482,0.004791086,0.0395206,1.403176466,Insignficant/Low
ENSRNOG00000015544,6674.965031,-0.403022278,0.142903005,-2.820250553,0.004798617,0.039520926,1.403172886,Insignficant/Low
ENSRNOG00000046021,11570.88729,0.442739948,0.156981762,2.820327299,0.004797469,0.039520926,1.403172886,Insignficant/Low
ENSRNOG00000032885,20.56209367,-1.084950283,0.384702844,-2.820229433,0.004798932,0.039520926,1.403172886,Downregulated
ENSRNOG00000036798,616.0231131,-0.442119079,0.15681317,-2.819400173,0.004811349,0.039601708,1.402286079,Insignficant/Low
ENSRNOG00000025317,375.0677416,-0.292262113,0.103685196,-2.818744853,0.004821182,0.039661147,1.401634736,Insignficant/Low
ENSRNOG00000007048,3110.837351,-0.203055901,0.072095827,-2.816472306,0.004855423,0.039921198,1.39879644,Insignficant/Low
ENSRNOG00000018450,1468.291512,0.229060351,0.081370375,2.815033746,0.004877211,0.039996867,1.397974024,Insignficant/Low
ENSRNOG00000009636,620.9650499,0.429311424,0.152483302,2.815465158,0.004870668,0.039996867,1.397974024,Insignficant/Low
ENSRNOG00000043185,85.6222402,0.855262151,0.303830896,2.814928183,0.004878814,0.039996867,1.397974024,Insignficant/Low
ENSRNOG00000002894,919.8083585,0.542325535,0.192624487,2.815454786,0.004870825,0.039996867,1.397974024,Insignficant/Low
ENSRNOG00000015585,146.3320799,-0.532303286,0.189107278,-2.814821786,0.004880429,0.039996867,1.397974024,Insignficant/Low
ENSRNOG00000042916,2450.410661,0.392921055,0.139583042,2.814962686,0.00487829,0.039996867,1.397974024,Insignficant/Low
ENSRNOG00000054181,1139.88558,0.262053005,0.093107066,2.814534014,0.004884801,0.040011103,1.397819476,Insignficant/Low
ENSRNOG00000002949,466.4055399,-0.287959236,0.102347317,-2.813549447,0.004899785,0.040112202,1.396723496,Insignficant/Low
ENSRNOG00000002953,23.27946114,1.040246111,0.369750686,2.813371685,0.004902495,0.040112762,1.396717437,Upregulated
ENSRNOG00000003908,528.205297,-0.563471347,0.20035811,-2.812321133,0.004918537,0.040209034,1.395676366,Insignficant/Low
ENSRNOG00000012623,4785.492028,-0.309497795,0.110057675,-2.812141861,0.004921279,0.040209034,1.395676366,Insignficant/Low
ENSRNOG00000000598,280.1973773,-0.353570416,0.125732638,-2.812081419,0.004922204,0.040209034,1.395676366,Insignficant/Low
ENSRNOG00000030714,504.7073656,0.269182882,0.095739152,2.81162801,0.004929147,0.040244102,1.395297756,Insignficant/Low
ENSRNOG00000042449,1535.393536,-0.3241844,0.115316783,-2.811250826,0.00493493,0.040250935,1.39522403,Insignficant/Low
ENSRNOG00000047314,1217.622996,-0.502509479,0.178750901,-2.81122766,0.004935285,0.040250935,1.39522403,Insignficant/Low
ENSRNOG00000024112,576.9246607,0.261115802,0.092898157,2.810774838,0.004942236,0.040285987,1.39484599,Insignficant/Low
ENSRNOG00000006532,7901.076341,-0.3052234,0.10862123,-2.809979217,0.00495447,0.040364045,1.394005317,Insignficant/Low
ENSRNOG00000004419,269.2078011,-0.335165265,0.119304271,-2.809331651,0.004964448,0.04040325,1.393583697,Insignficant/Low
ENSRNOG00000016468,185.3705977,-0.43840643,0.156054201,-2.809321556,0.004964603,0.04040325,1.393583697,Insignficant/Low
ENSRNOG00000058248,94.02407041,-0.522887735,0.18617146,-2.808635301,0.004975197,0.040446116,1.393123181,Insignficant/Low
ENSRNOG00000031208,513.5291431,-0.284126697,0.101158466,-2.808728797,0.004973753,0.040446116,1.393123181,Insignficant/Low
ENSRNOG00000038106,456.9702876,0.353517748,0.125934771,2.80714965,0.004998202,0.040611391,1.391352137,Insignficant/Low
ENSRNOG00000003657,381.3892064,-0.377002898,0.134315461,-2.806846629,0.005002906,0.040627873,1.391175911,Insignficant/Low
ENSRNOG00000038366,318.4626385,-0.460812473,0.164244963,-2.80564143,0.005021654,0.040742681,1.389950394,Insignficant/Low
ENSRNOG00000018650,283.7613075,0.553473782,0.197275152,2.805592989,0.005022409,0.040742681,1.389950394,Insignficant/Low
ENSRNOG00000054301,6.451698035,1.901751197,0.678002931,2.804930644,0.005032741,0.040804699,1.38928982,Upregulated
ENSRNOG00000010849,655.4008729,-0.244833829,0.08735495,-2.802747056,0.005066939,0.041060052,1.386580502,Insignficant/Low
ENSRNOG00000002875,393.2827708,0.328514361,0.117305996,2.800490784,0.005102496,0.041326139,1.383775165,Insignficant/Low
ENSRNOG00000059097,31.89427023,-1.470377031,0.525119433,-2.800081162,0.005108976,0.041356561,1.383455581,Downregulated
ENSRNOG00000038035,870.9751635,-0.999957768,0.35714601,-2.79985703,0.005112524,0.041363237,1.383385478,Insignficant/Low
ENSRNOG00000060703,1348.887906,-0.939197102,0.335501074,-2.799386271,0.005119985,0.041401539,1.382983513,Insignficant/Low
