"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000046319",15.6096647286262,1.05266278736118,0.487506050398253,2.15928148276568,0.0308283358352921,0.141844242471952
"ENSRNOG00000050370",20.1561674756605,0.863794988399095,0.410023645559187,2.10669554732888,0.0351439784241051,0.154604998942196
"ENSRNOG00000040300",1.60112093606365,0.304223613989094,1.73446328952447,0.175399281049357,0.860765905468977,NA
"ENSRNOG00000061316",7.60802482318008,-0.326190716139707,0.703591200327287,-0.463608294117342,0.642928410903754,0.828302456513637
"ENSRNOG00000040316",2.60302921700088,-0.0709355683937499,0.995061333583415,-0.0712876342388833,0.943168836638192,NA
"ENSRNOG00000029897",33.3406647175621,0.742728595947246,0.317155352161774,2.34184474858995,0.0191886950504613,0.102605465857854
"ENSRNOG00000014303",5377.31718313156,-0.062323549029523,0.100093560159275,-0.622652935217307,0.533512617179278,0.761023880478789
"ENSRNOG00000051899",6.2211646927541,0.191766525618048,0.669654936481229,0.286366179312744,0.774597675495989,0.90214282537634
"ENSRNOG00000014330",905.234903084124,0.0450317325385159,0.106742406836998,0.421872935723496,0.673117765485115,0.84710088561009
"ENSRNOG00000049505",326.009628240724,-0.183500619320445,0.111458363345201,-1.64636025339902,0.099689611109168,0.298564606903649
"ENSRNOG00000014916",3000.28099083508,0.142946617099536,0.0925739654595733,1.54413410282138,0.122555848741725,0.340057211582649
"ENSRNOG00000014996",427.765736717307,-0.0843382278511891,0.108682626291545,-0.776004691172526,0.437746215993408,0.690555503541533
"ENSRNOG00000015239",1621.44445527604,0.0599401130867079,0.0804321859307553,0.745225464073684,0.456135431517538,0.70427014234126
"ENSRNOG00000015552",808.370949853584,0.040931582088504,0.0846168177460428,0.48372868631565,0.628578431847694,0.820131469718377
"ENSRNOG00000016054",1525.77321530953,-0.0261154753707264,0.098924838786115,-0.263993105181506,0.791785231618865,0.911530724546321
"ENSRNOG00000016381",33.1442442256394,-0.357215951563722,0.47635414621943,-0.749895753818361,0.453317492062994,0.701882969045511
"ENSRNOG00000013160",821.859465110248,0.431112851953831,0.108581811549169,3.97039656829274,7.17531008859636e-05,0.00161770254193322
"ENSRNOG00000023549",46.4431313999083,0.797791723138716,0.375326926879097,2.12559149372117,0.0335372885031393,0.149837382526824
"ENSRNOG00000013351",1443.26868542845,-0.144866150987581,0.0945627973508798,-1.53195712315963,0.12553301577003,0.344977267007543
"ENSRNOG00000042741",1342.386325716,0.129011185848757,0.130805419617223,0.986283184796806,0.323994168895452,0.589949094585892
"ENSRNOG00000014258",2.5321154639683,0.692204479602535,1.01786692039952,0.680054008760636,0.496470263953977,NA
"ENSRNOG00000014290",97.9006748516368,-0.147848261290344,0.202786836216444,-0.729082143835702,0.465951416529075,0.710935216659353
"ENSRNOG00000014450",1069.77437071936,0.00475996928669533,0.103211268799016,0.0461186975228883,0.963215643395524,0.984545517978355
"ENSRNOG00000014852",515.137584225628,-0.0373921076057603,0.117836876638229,-0.31732093273787,0.75100009546448,0.89008721218478
"ENSRNOG00000040242",56.7139853189354,1.00151333162336,0.289210247098325,3.46292478109486,0.00053433774831858,0.00769142468811939
"ENSRNOG00000011058",2572.72771211475,0.26745685836986,0.107851018147486,2.47987328227271,0.0131429081249255,0.0796123664878812
"ENSRNOG00000014902",9.08989882792207,-1.96697414884121,0.746786295115739,-2.63391838027286,0.00844057752192721,0.058555783576056
"ENSRNOG00000014908",996.629028514061,0.0835732875720728,0.102600216394583,0.814552741786279,0.415328370767076,0.672092741108781
"ENSRNOG00000025587",6.22905308911465,-0.322797872129056,0.707021878807139,-0.456559947867057,0.647987372940809,0.831164615506603
"ENSRNOG00000042705",2.54835227064252,0.129600717206969,0.967577568138625,0.133943490914416,0.893447259345282,NA
"ENSRNOG00000015217",974.226308678592,0.0794622164075212,0.121252979485279,0.655342382058074,0.512247339255579,0.746042782577464
"ENSRNOG00000015473",188.98249520288,0.509856270172648,0.179065981041699,2.84730950684551,0.00440904727977115,0.0373637232090428
"ENSRNOG00000015551",1466.18491589972,0.187797745172093,0.18734479708173,1.00241772441732,0.316141885217225,0.582340834599409
"ENSRNOG00000015660",517.891778406634,-0.0505697580396531,0.137707008472844,-0.36722719199601,0.713449557835547,0.868980188104797
"ENSRNOG00000046983",56.7712072098449,0.171016295114002,0.2606681040078,0.656069125775682,0.511779648400372,0.745624425280225
"ENSRNOG00000016624",1.24814649945842,1.28653840722331,1.65687620245438,0.776484329557948,0.437463069805339,NA
"ENSRNOG00000010753",718.560668631588,-0.13919324066168,0.108684599423509,-1.2807080432738,0.200296233555774,0.454867444710331
"ENSRNOG00000011015",812.442740979125,-0.090105147528669,0.224074637095981,-0.402121135602121,0.687594878721932,0.855395742465082
"ENSRNOG00000011399",8.89266360996311,0.134757795324684,0.573120662345754,0.235129884818892,0.814107924090192,0.922684001435454
"ENSRNOG00000011411",34.2257543927978,1.68788022252302,0.352892047298221,4.78299308654194,1.72704067835995e-06,8.23328627379211e-05
"ENSRNOG00000011540",902.198365758548,-0.126999976040004,0.0974087102797439,-1.30378459662671,0.192307035943174,0.443960876836886
"ENSRNOG00000012103",2.49592657856383,0.956123843103301,1.03247700504126,0.926048559372117,0.354420745162464,NA
"ENSRNOG00000060990",189.021433839314,-0.0321383852909382,0.165705546549938,-0.193948760075167,0.846216003494522,0.93588222601749
"ENSRNOG00000058425",20.0093992715835,0.417193999277802,0.36912095802155,1.13023655311776,0.258376561153553,0.521561406045176
